id,name,artistName,category,profile,concept,iconImageUrl,imageUrl,instagram,x,website,work1Title,work1Description,work1ImageUrl,work2Title,work2Description,work2ImageUrl
creator-001,白井 灯,toi,Illustration,日常の中に残る小さな違和感を採集し、静かな線と余白で再構成するクリエイター。Illustrationを軸に、展示空間で立ち上がる視線の動きを大切にしている。,羽花展では、軽やかさと脆さが同時に存在する瞬間を、複数のレイヤーとして提示します。,/images/creators/creator-001/icon.svg,/images/creators/creator-001/main.svg,https://example.com/instagram/toi,https://example.com/x/toi,https://example.com/toi,Soft Signal 001,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-001/main.svg,Unlabeled Bloom 001,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-001/main.svg
creator-002,月森 叶,cano,Graphic Design,身体感覚、記憶、都市の温度を横断しながら、鑑賞者の内側に残る像を探っている。Graphic Designを軸に、展示空間で立ち上がる視線の動きを大切にしている。,見落とされがちな気配を作品化し、鑑賞者が自分の記憶と照らし合わせられる余白を残します。,/images/creators/creator-002/icon.svg,/images/creators/creator-002/main.svg,https://example.com/instagram/cano,https://example.com/x/cano,https://example.com/cano,Soft Signal 002,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-002/main.svg,Unlabeled Bloom 002,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-002/main.svg
creator-003,瀬良 凪,nagi,Photography,素材の手触りとデジタルの精度を行き来し、未完成の美しさを作品に定着させる。Photographyを軸に、展示空間で立ち上がる視線の動きを大切にしている。,偶然に生まれるにじみ、影、反射を受け入れながら、完成と未完成の境界を扱います。,/images/creators/creator-003/icon.svg,/images/creators/creator-003/main.svg,https://example.com/instagram/nagi,https://example.com/x/nagi,https://example.com/nagi,Soft Signal 003,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-003/main.svg,Unlabeled Bloom 003,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-003/main.svg
creator-004,雨宮 栞,shiori,Fashion,淡い色彩と緻密な構図で、言葉になる前の感情を視覚化することをテーマに活動。Fashionを軸に、展示空間で立ち上がる視線の動きを大切にしている。,花が咲く前の沈黙と、羽が空気を掴む直前の緊張をモチーフにしています。,/images/creators/creator-004/icon.svg,/images/creators/creator-004/main.svg,https://example.com/instagram/shiori,https://example.com/x/shiori,https://example.com/shiori,Soft Signal 004,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-004/main.svg,Unlabeled Bloom 004,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-004/main.svg
creator-005,灰谷 澄,sumu,Music,個人的な記録を起点に、同世代の不安や期待が重なる瞬間を表現している。Musicを軸に、展示空間で立ち上がる視線の動きを大切にしている。,匿名性のある都市の風景から、個人の輪郭がふっと立ち上がる感覚を探ります。,/images/creators/creator-005/icon.svg,/images/creators/creator-005/main.svg,https://example.com/instagram/sumu,https://example.com/x/sumu,https://example.com/sumu,Soft Signal 005,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-005/main.svg,Unlabeled Bloom 005,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-005/main.svg
creator-006,真壁 織,ori,Installation,日常の中に残る小さな違和感を採集し、静かな線と余白で再構成するクリエイター。Installationを軸に、展示空間で立ち上がる視線の動きを大切にしている。,羽花展では、軽やかさと脆さが同時に存在する瞬間を、複数のレイヤーとして提示します。,/images/creators/creator-006/icon.svg,/images/creators/creator-006/main.svg,https://example.com/instagram/ori,https://example.com/x/ori,https://example.com/ori,Soft Signal 006,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-006/main.svg,Unlabeled Bloom 006,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-006/main.svg
creator-007,水野 透,toro,Painting,身体感覚、記憶、都市の温度を横断しながら、鑑賞者の内側に残る像を探っている。Paintingを軸に、展示空間で立ち上がる視線の動きを大切にしている。,見落とされがちな気配を作品化し、鑑賞者が自分の記憶と照らし合わせられる余白を残します。,/images/creators/creator-007/icon.svg,/images/creators/creator-007/main.svg,https://example.com/instagram/toro,https://example.com/x/toro,https://example.com/toro,Soft Signal 007,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-007/main.svg,Unlabeled Bloom 007,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-007/main.svg
creator-008,花岡 芽,mei,Digital Art,素材の手触りとデジタルの精度を行き来し、未完成の美しさを作品に定着させる。Digital Artを軸に、展示空間で立ち上がる視線の動きを大切にしている。,偶然に生まれるにじみ、影、反射を受け入れながら、完成と未完成の境界を扱います。,/images/creators/creator-008/icon.svg,/images/creators/creator-008/main.svg,https://example.com/instagram/mei,https://example.com/x/mei,https://example.com/mei,Soft Signal 008,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-008/main.svg,Unlabeled Bloom 008,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-008/main.svg
creator-009,朝倉 依,yori,Mixed Media,淡い色彩と緻密な構図で、言葉になる前の感情を視覚化することをテーマに活動。Mixed Mediaを軸に、展示空間で立ち上がる視線の動きを大切にしている。,花が咲く前の沈黙と、羽が空気を掴む直前の緊張をモチーフにしています。,/images/creators/creator-009/icon.svg,/images/creators/creator-009/main.svg,https://example.com/instagram/yori,https://example.com/x/yori,https://example.com/yori,Soft Signal 009,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-009/main.svg,Unlabeled Bloom 009,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-009/main.svg
creator-010,青野 湖,umi,Product,個人的な記録を起点に、同世代の不安や期待が重なる瞬間を表現している。Productを軸に、展示空間で立ち上がる視線の動きを大切にしている。,匿名性のある都市の風景から、個人の輪郭がふっと立ち上がる感覚を探ります。,/images/creators/creator-010/icon.svg,/images/creators/creator-010/main.svg,https://example.com/instagram/umi,https://example.com/x/umi,https://example.com/umi,Soft Signal 010,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-010/main.svg,Unlabeled Bloom 010,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-010/main.svg
creator-011,森下 線,sen,Illustration,日常の中に残る小さな違和感を採集し、静かな線と余白で再構成するクリエイター。Illustrationを軸に、展示空間で立ち上がる視線の動きを大切にしている。,羽花展では、軽やかさと脆さが同時に存在する瞬間を、複数のレイヤーとして提示します。,/images/creators/creator-011/icon.svg,/images/creators/creator-011/main.svg,https://example.com/instagram/sen,https://example.com/x/sen,https://example.com/sen,Soft Signal 011,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-011/main.svg,Unlabeled Bloom 011,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-011/main.svg
creator-012,北見 翠,sui,Graphic Design,身体感覚、記憶、都市の温度を横断しながら、鑑賞者の内側に残る像を探っている。Graphic Designを軸に、展示空間で立ち上がる視線の動きを大切にしている。,見落とされがちな気配を作品化し、鑑賞者が自分の記憶と照らし合わせられる余白を残します。,/images/creators/creator-012/icon.svg,/images/creators/creator-012/main.svg,https://example.com/instagram/sui,https://example.com/x/sui,https://example.com/sui,Soft Signal 012,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-012/main.svg,Unlabeled Bloom 012,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-012/main.svg
creator-013,一ノ瀬 凛,rin,Photography,素材の手触りとデジタルの精度を行き来し、未完成の美しさを作品に定着させる。Photographyを軸に、展示空間で立ち上がる視線の動きを大切にしている。,偶然に生まれるにじみ、影、反射を受け入れながら、完成と未完成の境界を扱います。,/images/creators/creator-013/icon.svg,/images/creators/creator-013/main.svg,https://example.com/instagram/rin,https://example.com/x/rin,https://example.com/rin,Soft Signal 013,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-013/main.svg,Unlabeled Bloom 013,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-013/main.svg
